text,label
"I'm feeling awesome today!",POSITIVE
"You are stronger than you think, and you've overcome challenges before.",POSITIVE
"Every step you take brings you closer to your goals.",POSITIVE
"Your worth isn't defined by one moment or decision.",POSITIVE
"You have the power to create the life you want.",POSITIVE
"It's okay to not be okay, but you're doing the best you can.",POSITIVE
"Your unique perspective is valuable and needed.",POSITIVE
"Take a deep breath, and remember that this moment will pass.",POSITIVE
"You are capable of achieving great things.",POSITIVE
"Your resilience is inspiring, even to yourself.",POSITIVE
"Every small step forward is a victory worth celebrating.",POSITIVE
"This sucks and I'm so tired.",NEGATIVE
"It's normal to feel overwhelmed, but you've handled tough days before.",NEGATIVE
"Some days are harder than others, but they don't define your worth.",NEGATIVE
"You're not alone in feeling uncertain about the future.",NEGATIVE
"It's okay to feel scared, but you've faced fears before and succeeded.",NEGATIVE
"Not every day will be perfect, but that's okay.",NEGATIVE
"You don't have to have all the answers right now.",NEGATIVE
"It's normal to doubt yourself sometimes, but your strengths are real.",NEGATIVE
"You can't control everything, but you can control your reaction.",NEGATIVE
"Some things take time, and patience is a strength.",NEGATIVE
"You're doing the best you can, and that's something to be proud of.",NEGATIVE
"It's just an average day.",NEUTRAL
"Take your time, and focus on one step at a time.",NEUTRAL
"You have the support of those who care about you",NEUTRAL
"Every moment is an opportunity to start fresh.",NEUTRAL
"Your feelings are valid, and it's okay to acknowledge them.",NEUTRAL
"You're exactly where you need to be right now.",NEUTRAL
"Sometimes, all you need is a good night's sleep.",NEUTRAL
"Life is a journey, not a destination.",NEUTRAL
"It's okay to ask for help when you need it",NEUTRAL
"Your well-being is important, and you deserve to prioritize it.",NEUTRAL
"The present moment is all you truly have.",NEUTRAL